,source,reference,court,nameFirst,nameLast,testator,shipName, dateOfWill,dateOfProbate,role,married,sick,notes,will,summary,transcription,,,,,,,,,,,
210,,,P,William,Hugheson,William Hugheson,Trades Increase,1613-04-25,1614-07-06,sailor,,,,,,,,,,,,,,,,,
211,,11/101/393,P,Thomas,Humble,Thomas Humble,Ascension,,1603-07-01,,,,,,,,,,,,,,,,,,
212,,,C,John,Humbye,John Humbye,Lion,,1616-10-24,,,,,,,,,,,,,,,,,,
213,,,P,James,Humfrey,James Humfrey,,1610-02-22,1614-06-24,,,,,,,,,,,,,,,,,,
214,,,C,Mathew,Hunt,Mathew Hunt,Clove,1613-02-08,1614-12-18,carpenter?,,,unsure ship name,,,,,,,,,,,,,,
215,LMA Microfilm,,C,William,Hunter,William Hunter,,1617-10-21,1618-09-15,,,,,,,,,,,,,,,,,,
216,,,P,Robert,Huntley,Robert Huntley,Charles,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
217,,,C,Thomas,Hutchins,Thomas Hutchins,Rose,,1620-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
218,LMA Microfilm,9171/20/172,C,Robert,Iland,Robert Iland,Dragon,1605-11-17,1606-05-31,,,,,,,,,,,,,,,,,,
219,LMA Microfilm,no OW,C,Ralph,Ingolsby,Ralph Ingolsby,Star,,1623-01-01,surgeon,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
220,,,P,Christopher,Jackson,Christopher Jackson,Hope,1617-12-09,1618-09-12,,,,unsure ship name,,,,,,,,,,,,,,
221,,,C,Cornelius,Jacobbes,Cornelius Jacobbes,Trades Increase,1613-02-10,1619-01-22,,,,,,,,,,,,,,,,,,
222,,,C,William,Jagges,William Jagges,New Year's Gift,1617-01-11,1620-04-13,,,,alternate last name: Jakes,,,,,,,,,,,,,,
223,LMA Microfilm,9171/20/174v,C,William,James,William James,,1604-03-09,1606-06-03,,,,,,,,,,,,,,,,,,
224,,,C,John,Jane,John Jane,Charles,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
225,,,C,Richard,Jarrett,Richard Jarrett,Lion,,1623-01-01,,,,corrected ship name: Lyon; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
226,,,P,Nicholas,Jefferie,Nicholas Jefferie,London,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
227,,,C,Anthony,Jefferson,Anthony Jefferson,,,1610-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
228,LMA Microfilm,,C,Edward,Jelley,Edward Jelley,Royal Exchange,,1623-01-01,,,,alternate last name: Jellie; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
